date,vix,price,shares,position_value,cash,net_value,total_cost,unrealized_pnl,daily_pnl,return_pct,note
2026-03-24,21.0,1.947,1540,2998.38,97001.32,2998.38,2998.68,-0.3,-0.3,-0.01,VIX21.0_BUY
2026-04-07,19.5,1.952,2308,4505.22,95502.03,4505.22,4497.97,7.25,7.55,0.16,VIX19.5_BUY
2026-04-21,19.5,2.133,3222,6872.53,93552.28,6872.53,6447.72,424.8,417.55,6.59,VIX19.5_BUY
2026-05-19,18.15,2.306,4067,9378.5,91603.51,9378.5,8396.49,982.01,557.21,11.7,VIX18.15_BUY
2026-05-28,16.72,2.468,4067,10037.36,91603.51,10037.36,8396.49,1640.87,658.86,19.54,VIX16.72_HOLD
2026-05-29,15.84,2.54,4067,10330.18,91603.51,10330.18,8396.49,1933.69,292.82,23.03,VIX15.84_HOLD
2026-06-01,15.82,2.54,4067,10330.18,91603.51,10330.18,8396.49,1933.69,0.0,23.03,VIX15.82_HOLD
2026-06-02,16.12,2.602,4566,11880.73,91603.51,11880.73,9695.02,2185.71,252.02,22.54,VIX16.12_BUY
2026-06-03,16.04,2.602,4566,11880.73,91603.51,11880.73,9695.02,2185.71,0.0,22.54,VIX16.04_HOLD
2026-06-04,16.6,2.602,4566,11880.732,91603.51,11880.732,9695.018,2185.714,0.0,22.54,"VIX16.6,持仓不动"
